,Name,Comments,Likes,Replies,Published
1014,Abdel Jallad,"This film is gonna certainly be a tribute to Chadwick and the first film.  Really glad how they’re handling it.  I teared up watching this trailer and I’m excited to see what Ryan Coogler and marvel has in store.  Rip to a real life warrior, Mr. Chadwick Boseman.  Wakanda Forever!",132,0 reply,3 days ago
1015,feh meh,It is good to see that this is important enough that they decided to not wipe their collective asses with it like they did with Thor L&T.,0,0 reply,18 hours ago (edited)
1016,Chas O.T.E,Really digging the Aztec redesign for Namor and his people. It makes them so visually and aesthetically distinct!,768, 29 replies,3 days ago
1017,Tristen Hoge,This looks absolutely beautiful. The emotion surrounding this entire movie is palpable. I’m seeing this the minute it opens.,583,1 reply,3 days ago
1018,RapisGames,Haven't felt these chills since Endgame. Looks awesome - can't wait to see it and continue the journey. Wakanda Forever!,1.2K, 18 replies,3 days ago
1019,Rimsha Shaikh,goosebumps it is. GOOSEBUMPS.,0,0 reply,16 hours ago
1020,Ryan,loved the song,0,0 reply,19 hours ago
1021,BlackWidow,"I feel so emotional , well done Marvel. 
RIP Chadwick Boseman.",116,0 reply,3 days ago (edited)
1022,Snoop,this movie will never be the same without chadwick bosemanRIP CHADWICK BOSEMAN,0,0 reply,21 hours ago
1023,VIBE MX,"""Death is not the end."" -Black Panther Rest in peace, king. Wakanda Forever.",299, 2 replies,3 days ago
1024,Squicx,"When the lyrics repeat, ""Everything's gonna be alright"" knowing that T'Challa isn't around to lead them all is enough to make me cry.
It's almost as if it's constantly saying, ""what would T'Challa do in these desperate times."" 
God I miss Chadwick Boseman. Can't believe it's been 2 years since his passing.",725, 11 replies,3 days ago
1025,RoddCozmo,This is it. This is THE film of Phase 4.,1,0 reply,17 hours ago
1026,ABQ_LostBoyz,Beautiful Rip Chadwick ,0,0 reply,20 hours ago
1027,Obi-Wan Kenobi,"Ramonda's ""My entire family is gone."" gave me chills ",217, 12 replies,4 days ago
1028,Devlin Greener,who sings that cover of bob marley? Literally almost made me cry before work lol,0,0 reply,19 hours ago
1029,Sienna H.,"This is one of the most beautiful trailers I've ever seen. Everything about this movie looks, sounds, and feels absolutely stunning, I'm literally crying. This is fr about to be THE best movie of 2022",126, 2 replies,3 days ago
1030,Razz Jhon,I love the chemistry between black panther franchise and Kendrick lamar,0,0 reply,18 hours ago
1031,K D,I can’t imagine how I’m emotionally gonna feel when I watch this in theaters. For Chadwick.,154, 5 replies,1 day ago
1032,Kien Nguyen,The music for this film is already sounding A+. This film is going to be a beautiful tribute to Chadwick Boseman.,256,0 reply,1 day ago
1033,Yusuf Yabaş,İlk defa bir fragman beni bu kadar etkiledi,0,0 reply,18 hours ago
1034,Lincoln 23,"My heart beating is in crescendo. It's a chadwick boseman tribute entirely. Loved the music, the montage, the sense of emotions over the edge is so overwhelming. I can comfortably say Everything is gonna be alright",835, 10 replies,3 days ago
1035,Tyrone Ioane,That transition from No Woman No Cry to Alright was absolutely beautiful. So excited.,275, 3 replies,2 days ago
1036,Vipin Thomas,That “Wakanda Forever” gave chills down the spine  Couldn’t have never asked for a better trailer,694, 8 replies,3 days ago (edited)
1037,Jesse,Wish this remix was on spotify,0,0 reply,16 hours ago
1038,Nivedita Kapur,You know the movie's going to be good when a 2 minute trailer left you teary eyed and a whirlwind of emotions in your heart. The way they are moving forward with this movie is marvelous and I'm ready to cry like a baby in the theater and soaking my popcorn with them tears.,224, 10 replies,3 days ago
1039,Jessie Ray,"Y'all focused on race. 
I'm just excited to see such a large representation of powerful and strong women. 
Only a hand full of movies have done this.
Plus that ocean birth scene, never thought I'd see that in a Superhero movie, especially a movie that was originally man focused.",3,0 reply,20 hours ago (edited)
1040,Letitia G,"I have never cried during a Marvel trailer,  but this was a gut punch. Wow. Incredible.",84, 4 replies,3 days ago
1041,•Mighty.Matcha•,The underwater part gives me chills. When they gave birth. Some mothers prefer giving birth in a tub and I never thought they could use it to recreate such a serene and beautiful scene,241, 7 replies,3 days ago (edited)
1042,Pedja Nedeljkovic,Would expect a resolution higher than 1080p in 2022. Shame for such an amazing trailer.,0,0 reply,17 hours ago
1043,Blake,"This trailer genuinely brought tears to my eyes and gave me goosebumps all over my body. the music, the visuals, the emotion. all of it. this movie looks so so so beautiful and i’m so ready to see it and cry my eyes out in the theater.",537, 3 replies,3 days ago (edited)
1044,Prahlad A.C,Superb bro,0,0 reply,16 hours ago
1045,Queen Brahmer,I have watched this trailer about 10 thousand times and I still can’t get enough. WAKANDA FORVER,150, 5 replies,1 day ago
1046,Tenille,"When Angela Bassett cried out “I am queen of the most powerful nation in the world, and my entire family is gone. Have I not given everything?” I felt that . This movie has promise from the looks of this trailer!",188, 3 replies,2 days ago
1047,David & Friends,Man…When Angela Basset said: Have I not given everything?…chills! This movie has an artistic touch that pretty much all of Phase 4 has lacked. I can’t wait!!!,278, 8 replies,4 days ago
1048,ebubechukwu jon,RIP CHADWICK FOREVER IN OYR HEARTS...,0,0 reply,18 hours ago
1049,Aqsa Nabeel,What if killmonger is in the ancestral plain and shuri somehow goes there to tell him to be black panther for now. Anyway Chadwick Rest In Peace we all love you.,0,0 reply,18 hours ago
1050,Мемный Тик,Без легендарного актёра это уже не чёрная пантера.,0,0 reply,16 hours ago
1051,Fernando Gastelo,I read somewhere that Chadwick’s brother said that his brother would have wanted the character to continue and wouldn’t have minded if they recasted him. After watching this trailer I realize the choice to not recast him was mainly to allow all his black panther family (and us all) to properly mourn him and honor him,431, 22 replies,2 days ago
1052,Jessa Winters,"I'm excited for it, I'm really glad it didn't end up being a prequel. I already love so many of the pre-existing characters it would have been a huge disservice",107,0 reply,1 day ago
1053,OMA'S 🥰,Yay!. Go Tems 🇳🇬🇳🇬,0,0 reply,19 hours ago
1054,Looney Kid,I just glad his memory will live on through the next story. I feel he would’ve been ok being recasted cuz he knew what the character meant. Its still feels good to see what he did for the character being put on display. This small trailer gave a really cool  family vibe and thats exactly what he brought to the character. RIP Chadwick Boseman you are gone not forgotten. The excellence that is your story will live on.,812, 2 replies,3 days ago
1055,Sophia Cerin,"Man, I'm absolutely looking forward to this. It's just been a few years seen we've seen Black Panther! And I can already tell this is gonna be lit! And thanks to the Chad. Wakanda will be eternal forever! ",239, 5 replies,3 days ago
1056,vishwanath jesh,Love how they brought this old classic song to new life,0,0 reply,16 hours ago
1057,LoveKeepsGoing11,"Goosebumps all over, crying already with the trailer and I will no doubt cry with the movie. Chadwick will forever be in our hearts",737, 6 replies,3 days ago
1058,Deadpool-XF,"Everything about this is perfect...the music, the visuals, the tribute...the pain in Angela's voice...Riri Williams...Kendrick over Tems saying we gon' be alright...the glimpse of Namor...the glimpse of the claws at the end...I keep watching it getting more and more emotional. Very moved and excited...just wow.",260, 8 replies,3 days ago (edited)
1059,The Mad Carver,"Rest easy, Chad.",0,0 reply,19 hours ago
1060,Jahlayne Hermyn,Don't even think about telling me killmonger didn't die BECAUSE I SAW THE GOLD BROOOOO!!!! IM actually gonna pass out if it is,0,0 reply,20 hours ago
1061,Yvette Quinones,I’ve never cried for someone I didn’t personally know more than I cried for the passing of this beautiful soul. You could see from the roles that he chose to the speeches that he made that he was just one Amazing human ️,466, 7 replies,2 days ago
1062,Nitish Kumar Sharma,,0,0 reply,17 hours ago
1063,M0RPH,Marvel should've used Kasper Cole as the new Black Panther but first have released a White Tiger film for like context and then made Kasper Cole become the new black panther comic accurate ish,0,0 reply,16 hours ago
1064,oakwordengineear,Basset's line still gets me a bit teary eyed. The music and the delivery is just too much to hold back any emotions. Knowing her character lost her husband and son and how she as an actor lost a friend. ,129,0 reply,2 days ago
1065,Jerald Delos Santos,"This is probably the first trailer that has given me mixed emotions since Endgame. Joy, excitement, sadness, grief. Not just because of the story build-up that has led to it but to the connection it has to the real world. Giving us hope that in the future, ""Whatever it takes""*, *""Everything's gonna be alright"" 
RIP Chadwick Boseman.",346, 3 replies,3 days ago
1066,Jubayer Jubayer,I feel very sorry for ramonda,0,0 reply,21 hours ago
1067,Quy Hoang,goosebumps,0,0 reply,18 hours ago
1068,Kathina Gallery,"This trailer was just amazing and I could watch it over and over again. Knowing about Chadwick's passing has hit the world and how this movie's gonna turn out, I'm excited to be completely surprised. I think this movie might make me cry as much as I did for Endgame or even more and I know I'm not gonna be ready. You can tell by the acting & scenes shown in this trailer it will be a phenomenal movie not showing to much. What a great tribute to Chadwick Boseman it will be",402, 2 replies,1 day ago (edited)
1069,Damien Weber,"Wait is shuri gonna die? When the queen says ""My entire family is gone.""",0,0 reply,16 hours ago
1070,Jeremy Owens,"Ramonda: My entire family is gone
Shuri: Uh, mom...?

(Unless this movie takes place during The Snap Years, of course)",1,1 reply,18 hours ago
1071,CCJdidit,"This trailer rekindles that feeling I got from Phase 1 2 and 3 Marvel films.. Not hating on Phase 4, but something about this hits a little different than everything else we've seen in this phase so far.",303, 5 replies,1 day ago
1072,Braden Thacker,This trailer is all over the place.,1,0 reply,1 hour ago
1073,Aglet User,Is this giving anyone else Avatar vibes? I’m absolutely loving it,670, 25 replies,4 days ago
1074,Crackaine123,Do you think we are ready for the wokeness this movie is about to bring?,0,0 reply,15 minutes ago
1075,nareshh naayak,Forever Wakanda ,0,0 reply,9 hours ago
1076,Scenic Fights,Such an emotionally beautiful trailer. I have faith Ryan Coogler is the only director that can make this an amazing sequel despite the unexpected passing of Chadwick Boseman. Wakanda Forever!,902, 20 replies,3 days ago
1077,The MCVerse,"Just rewatched Black Panther, and that's not Killmonger's suit, so that's more than likely not him. They just used the same color scheme, to make us think it is him. That's a completely different suit, and it's probably gonna be Shuri or Nakia.",0,0 reply,1 hour ago
1078,dan2017gs,"i have nothing but respect for Chadwick,but ima be honest,not that excited for this, looks like a killmonger tease at the end, which is all o really care for",0,0 reply,4 hours ago
1079,DOMATHOTI BIL SANGEETH,This just hit us at another level. In recent times I haven’t felt this emotional for any trailer. Long live chadwick boseman. Always a king. We will never forget you friend.,774, 11 replies,2 days ago (edited)
1080,NosC Prey,Not the same without Chadwick,0,0 reply,5 hours ago
1081,Edvaldo Carvalho,Coming out on Angola 🇦🇴  independence day ,0,0 reply,10 hours ago
1082,Roe’s Rec’,"In just 2 minutes, I feel like I've just gone through every emotion. One of them movies where it's not just gonna be simply for our entertainment. But most of all... It's for Him...",527, 2 replies,3 days ago (edited)
1083,BLAZE op,1:55 that's hope,1,0 reply,7 hours ago
1084,Aaron Wibawa,"Can't just let it end on a high note aye? Gotta milk every last penny, not gonna say it's a mockery, but it sure ain't paying homage or whatever to Chadwik's legacy",0,0 reply,19 hours ago
1085,No Hickies,Ryan Coogler Don’t Miss ,1,0 reply,1 hour ago
1086,Gianni Bravo6,"This is powerful, it feels like so much more than another trailer for another Marvel movie. RIP the king",110, 2 replies,3 days ago
1087,brian kim,This music is so good,0,0 reply,19 hours ago
1088,Pushpraj Verma,Along the way ,1,0 reply,10 hours ago
1089,2k Demiks,best teaser ever,0,0 reply,3 hours ago
1090,Carl Rosenzweig,"I'll admit I was a little worried, and I realize it's still just a trailer, but that literally gave me goosebumps. I hope the actual movie actually lives up to what this trailer suggests.",276, 3 replies,3 days ago
1091,Brian Meyer,"King T'Challa is one of the most popular and inspirational characters of 21st century cinema and Marvel is going to give him the ""Johnny Cage treatment"". 
I really can't say I'm looking forward to this.",0, 2 replies,20 hours ago (edited)
